group,variable,value,datatype,min_val,max_val
NU_IDADE,190001686764,18,int,13.0,77.0
NU_IDADE,190001686766,18,int,13.0,77.0
NU_IDADE,190001686772,18,int,13.0,77.0
NU_IDADE,190001686773,25,int,13.0,77.0
NU_IDADE,190001686775,18,int,13.0,77.0
NU_IDADE,190001686776,23,int,13.0,77.0
NU_IDADE,190001686803,16,int,13.0,77.0
NU_IDADE,190001686814,19,int,13.0,77.0
NU_IDADE,190001686819,24,int,13.0,77.0
NU_IDADE,190001686821,18,int,13.0,77.0
NU_IDADE,190001686822,19,int,13.0,77.0
NU_IDADE,190001686825,45,int,13.0,77.0
NU_IDADE,190001686840,20,int,13.0,77.0
NU_IDADE,190001686841,18,int,13.0,77.0
NU_IDADE,190001686843,21,int,13.0,77.0
NU_IDADE,190001686855,16,int,13.0,77.0
NU_IDADE,190001686870,21,int,13.0,77.0
NU_IDADE,190001686876,20,int,13.0,77.0
NU_IDADE,190001686880,17,int,13.0,77.0
NU_IDADE,190001686883,29,int,13.0,77.0
NU_IDADE,190001686904,19,int,13.0,77.0
NU_IDADE,190001686908,19,int,13.0,77.0
NU_IDADE,190001686922,19,int,13.0,77.0
NU_IDADE,190001686926,35,int,13.0,77.0
NU_IDADE,190001686939,17,int,13.0,77.0
NU_IDADE,190001686948,20,int,13.0,77.0
NU_IDADE,190001686962,17,int,13.0,77.0
NU_IDADE,190001686968,16,int,13.0,77.0
NU_IDADE,190001686970,21,int,13.0,77.0
NU_IDADE,190001686975,23,int,13.0,77.0
NU_IDADE,190001686978,18,int,13.0,77.0
NU_IDADE,190001686980,25,int,13.0,77.0
NU_IDADE,190001686981,19,int,13.0,77.0
NU_IDADE,190001686994,20,int,13.0,77.0
NU_IDADE,190001687000,17,int,13.0,77.0
NU_IDADE,190001687002,17,int,13.0,77.0
NU_IDADE,190001687004,34,int,13.0,77.0
NU_IDADE,190001687018,20,int,13.0,77.0
NU_IDADE,190001687020,17,int,13.0,77.0
